Series Name Series Code	Country Name	Country Code	YR1996	YR1998	YR2000	YR2002	YR2003	YR2004	YR2005	YR2006	YR2007	YR2008	YR2009	YR2010	YR2011	YR2012	YR2013	YR2014
Control of Corruption: Estimate	CC.EST	Angola	AGO	-1.15809834003448	-1.31885623931885	-1.51669788360596	-1.13693332672119	-1.30378973484039	-1.28111374378204	-1.33165490627289	-1.22777783870697	-1.3204083442688	-1.28326904773712	-1.41758608818054	-1.31921756267548	-1.33788001537323	-1.29587852954865	-1.32514321804047	-1.45259773731232
Control of Corruption: Estimate	CC.EST	Benin	BEN	-0.930731415748596	-0.599705159664154	-0.492769420146942	-0.792009234428406	-0.568923950195313	-0.493639767169952	-0.970942497253418	-0.616738021373749	-0.473546594381332	-0.531269669532776	-0.672711610794067	-0.737614274024963	-0.642196357250214	-0.932404458522797	-0.834388017654419	-0.780429363250732
Control of Corruption: Estimate	CC.EST	Botswana	BWA	0.58598256111145	0.705786228179932	0.666224420070648	0.606008172035217	1.24967133998871	0.879445016384125	1.14126682281494	0.895547032356262	0.941658496856689	0.987753629684448	0.919515192508698	1.0033346414566	0.979917466640472	0.918630480766296	0.911864459514618	0.799274444580078
Control of Corruption: Estimate	CC.EST	Burkina Faso	BFA	0.221323251724243	-0.243102237582207	-0.140602305531502	-0.0216762758791447	-0.0334518477320671	-0.152619108557701	-0.090967983007431	-0.32922625541687	-0.351358830928802	-0.328134685754776	-0.381077289581299	-0.388622313737869	-0.391554653644562	-0.519974887371063	-0.576052188873291	-0.525002598762512
Control of Corruption: Estimate	CC.EST	Burundi	BDI	-1.38878548145294	-1.15435981750488	-1.01455760002136	-0.942692518234253	-1.04709017276764	-0.96991354227066	-0.899686992168427	-1.06567394733429	-1.11641156673431	-1.01580047607422	-1.06755232810974	-1.10563027858734	-1.12237203121185	-1.43908941745758	-1.36674249172211	-1.19335317611694
Control of Corruption: Estimate	CC.EST	Cabo Verde	CPV	..	-0.317102938890457	0.127480030059814	0.384034425020218	0.289174169301987	0.27141946554184	0.343925476074219	0.633570432662964	0.787132382392883	0.777043223381042	0.770491003990173	0.797934651374817	0.861496269702911	0.788585424423218	0.764068841934204	0.903527021408081
Control of Corruption: Estimate	CC.EST	Cameroon	CMR	-1.15809834003448	-1.04015672206879	-1.05779957771301	-1.08671021461487	-0.862480640411377	-1.07296144962311	-1.16071760654449	-1.02664732933044	-0.951248049736023	-0.943711280822754	-0.922345638275146	-0.984666526317596	-1.07698106765747	-1.2674013376236	-1.19429898262024	-1.15309846401215
Control of Corruption: Estimate	CC.EST	Central African Republic	CAF	-1.38878548145294	-0.997215628623962	-1.18768692016602	-1.10757493972778	-1.22506022453308	-1.32542872428894	-1.2073233127594	-0.997075140476227	-0.972397029399872	-0.977801620960236	-0.907439768314362	-0.836116313934326	-0.843617558479309	-0.893970906734467	-1.04179048538208	-1.150226354599
Control of Corruption: Estimate	CC.EST	Chad	TCD	-0.930731415748596	-0.94171816110611	-0.818540275096893	-0.942692518234253	-1.26340544223785	-1.28161728382111	-1.43051064014435	-1.26752579212189	-1.30060112476349	-1.44671380519867	-1.35553646087646	-1.33537030220032	-1.26304519176483	-1.25133526325226	-1.28528761863708	-1.23421454429626
Control of Corruption: Estimate	CC.EST	Comoros	COM	-0.930731415748596	-1.31145572662354	-1.12382352352142	-0.870549857616425	-0.839414060115814	-0.840120315551758	-0.825074195861816	-0.643387615680695	-0.652451872825623	-0.755275845527649	-0.78399133682251	-0.745625793933868	-0.708473384380341	-0.725815236568451	-0.728022933006287	-0.530485272407532
Control of Corruption: Estimate	CC.EST	Congo, Dem. Rep.	ZAR	-2.05745840072632	-1.89954662322998	-1.56607449054718	-1.25988006591797	-1.40683555603027	-1.43112194538116	-1.42854225635529	-1.48490226268768	-1.30773508548737	-1.16688120365143	-1.36346805095673	-1.41807675361633	-1.39638578891754	-1.30438196659088	-1.29802095890045	-1.28707981109619
Control of Corruption: Estimate	CC.EST	Congo, Rep.	COG	-1.10518014431	-1.13358676433563	-0.960103392601013	-0.865494728088379	-0.93612676858902	-0.835360407829285	-1.01628470420837	-1.04933977127075	-1.09416258335114	-1.12897670269012	-1.17543637752533	-1.1149697303772	-1.07828330993652	-1.19224774837494	-1.18746852874756	-1.21570944786072
Control of Corruption: Estimate	CC.EST	Cote d'Ivoire	CIV	0.198116809129715	-0.30358624458313	-0.686767876148224	-0.816110908985138	-0.977763652801514	-1.21627306938171	-1.23961508274078	-1.18211615085602	-1.07181370258331	-1.08769571781158	-1.0819079875946	-1.13787972927094	-1.02149951457977	-0.856443822383881	-0.778041064739227	-0.413306653499603
Control of Corruption: Estimate	CC.EST	Equatorial Guinea	GNQ	-1.25418126583099	-1.21120667457581	-1.5310286283493	-1.33592402935028	-1.5513824224472	-1.70571517944336	-1.60717630386353	-1.53361284732819	-1.54170370101929	-1.50833833217621	-1.50339186191559	-1.49228978157043	-1.48836994171143	-1.56109547615051	-1.60917210578918	-1.83649456501007
Control of Corruption: Estimate	CC.EST	Eritrea	ERI	0.44343101978302	0.851665735244751	0.614670395851135	0.0555501133203506	-0.0691379830241203	-0.153958320617676	-0.207431584596634	-0.249099776148796	-0.49497002363205	-0.320255845785141	-0.428718745708466	-0.474667936563492	-0.568008422851563	-0.6491779088974	-0.795023500919342	-0.861256122589111
Control of Corruption: Estimate	CC.EST	Ethiopia	ETH	-1.15256237983704	-0.691003978252411	-0.489825010299683	-0.728097796440125	-0.678868174552917	-0.716092169284821	-0.769132316112518	-0.622632086277008	-0.606462001800537	-0.663394927978516	-0.718117892742157	-0.703992009162903	-0.675695300102234	-0.607123672962189	-0.504982233047485	-0.43215349316597
Control of Corruption: Estimate	CC.EST	Gabon	GAB	-1.017737865448	-0.874949097633362	-0.503677427768707	-0.419007807970047	-0.474567085504532	-0.761640667915344	-0.545076549053192	-0.962012469768524	-1.03289246559143	-1.02052164077759	-0.941673338413239	-0.780383229255676	-0.786190152168274	-0.551935911178589	-0.557560801506042	-0.636353850364685
Control of Corruption: Estimate	CC.EST	Gambia, The	GMB	-0.4419284760952	-0.531265020370483	-0.4099200963974	-0.436575174331665	-0.331659734249115	-0.593111574649811	-0.70791220664978	-0.740821063518524	-0.771498918533325	-0.752963542938232	-0.563803851604462	-0.559655249118805	-0.498737066984177	-0.642585694789886	-0.701253414154053	-0.679214000701904
